scode,sname,b,c,t,y,p,st,sh,r,mg,bps,xsmll,pn
2168,深圳惠程,-0.01,"""-""",53208618.29,36.42870572,-5562076.38,67.40809269,-107.8453,-0.41,1.70050712,0.00512133,27.91853299,输配电气
2240,威华股份,0.0036,"""-""",303639795.1,22.39648941,1761237.42,105.059588,-97.8397,0.12,2.88925124,-0.05147132,9.39253336,材料行业
2358,森源电气,0.06,"""-""",442266878.3,3.73697267,57413244.19,33.8371797,64.3723,1.26,4.92933353,-0.34049295,28.29734246,输配电气
2119,康强电子,0.07,"""-""",266873844,3.00797344,13595398.06,81.15253809,16.6768,1.93,3.44303884,0.01360874,22.37843668,电子元件
2186,全聚德,0.1152,"""-""",436612171.9,-1.27328424,35533669.92,5.87128845,258.0113,2.42,4.80906811,0.15834662,61.19332596,旅游酒店
2013,中航机电,0.0034,"""-""",1639230981,7.08812301,5418653.32,123.7307239,-98.4208,0.07,4.67838446,-0.15459858,21.16534034,航天航空
838199,德立装备,0.15,"""-""",9338610.09,15815.63745,1736481.8,241.3258167,"""-""",13.94,1.17910607,-0.53508879,23.49044878,-
2826,易明医药,0.03,"""-""",78426722.21,43.17429785,5555689.34,16.43680649,-71.9044,1,2.95694305,0.12260242,71.69790113,医药制造
300648,星云股份,0.11,0.1,39271121.81,81.90066119,5637673.1,48.48736907,-75.342,2.5,4.43908865,-0.34386604,52.12485721,仪器仪表
600774,汉商集团,0.041,"""-""",251832439,-3.6414397,7194147.36,108.0377434,50.8515,1.25,3.33065701,0.03181493,31.37492702,商业百货
600338,西藏珠峰,0.47,"""-""",576068935.4,111.9993732,305875255.9,147.0577111,52.087,21.81,2.30902714,0.4343341,70.41404632,有色金属
900916,凤凰B股,0.026,"""-""",286772157.3,184.1905909,10457991.78,84.32396031,-43.5526,0.0082,3.15291861,-0.05897799,16.33010561,文教休闲
600679,上海凤凰,0.026,"""-""",286772157.3,184.1905909,10457991.78,84.32396031,-43.5526,0.0082,3.15291861,-0.05897799,16.33010561,文教休闲
600343,航天动力,0.0086,"""-""",363761640,42.23769764,5462826.67,3.15676223,-50.1377,0.24876,3.44557739,-0.16686619,11.71314364,机械行业
600562,国睿科技,0.05,"""-""",160426990.6,6.1508741,23548364.6,0.14074869,-75.2593,1.38,3.57500005,-0.20983927,30.22727837,机械行业
969,安泰科技,0.0117,"""-""",1014190159,8.54478878,11983503.53,-23.54296742,38.3667,0.06,4.4492674,-0.20546518,14.62304007,金属制品
600300,维维股份,0.05,"""-""",1389643045,32.26881456,91516192.41,185.8514012,448.114,3.38,1.6476804,-0.06605127,29.57154447,食品饮料
600452,涪陵电力,0.35,"""-""",478452247.6,60.41022303,55201495.36,130.0924916,43.486,5.96,5.99939309,0.1290344,17.02766862,电力行业
600640,号百控股,0.0583,"""-""",1221777716,8.54254249,46392814.64,90.54843396,765.76,1.15,5.32747414,0.11180619,22.48567449,旅游酒店
600289,ST信通,0.0119,"""-""",311417650.5,4.25211189,7530769.22,5.12383567,-93.1537,0.23,5.12925065,-0.2410034,72.20923741,软件服务
600278,东方创业,0.09,"""-""",3623271135,9.93300778,43220503.47,16.6547947,-3.1088,1.28,6.88271257,-0.32242035,5.77167671,国际贸易
600256,广汇能源,0.0058,"""-""",1118221642,14.06104582,30273228.15,12.61778405,-26.3111,0.27,2.14227028,0.01461756,29.45220941,石油行业
600229,城市传媒,0.0925,"""-""",456629341.1,19.20540683,64923348.18,16.40989861,-46.2817,3.02,3.10677224,-0.11784115,38.70201414,文化传媒
600476,湘邮科技,0.004,"""-""",44796972.13,16.51578438,654553.49,112.4594843,-90.688,0.33,1.23358374,-0.18999878,20.7618761,软件服务
600077,宋都股份,-0.004,"""-""",354091401.4,-42.3530107,-4868968.25,86.53026449,98.2898,-0.14,2.66360329,0.03418713,21.44522125,房地产
600075,新疆天业,0.23,"""-""",966630439.9,-23.09134051,157093745.7,42.61644586,75.117,3.98,5.79548465,0.27650224,34.85438116,综合行业
600050,中国联通,0.0129,"""-""",69005162761,-1.89744709,274263921,88.28892384,181.9459,0.35,3.68223485,1.03591818,24.97239814,电信运营
200418,小天鹅B,0.63,"""-""",5690391543,34.21434096,397203444.8,25.28013697,51.6435,6.44,10.06518654,-0.26719823,25.68688048,家电行业
418,小天鹅A,0.63,"""-""",5690391543,34.21434096,397203444.8,25.28013697,51.6435,6.44,10.06518654,-0.26719823,25.68688048,家电行业
407,胜利股份,0.03,"""-""",767227291.5,27.6690016,24216955.57,-54.62365783,107.7571,1.14,2.43172784,0.01681727,16.03609708,石油行业
2049,紫光国芯,0.0881,"""-""",401870380.2,42.51628005,53435225.6,-14.91281933,-10.5682,1.65,5.38222529,0.03783114,29.91140121,电子元件
2046,轴研科技,-0.04,"""-""",90070578.84,9.9050221,-14079275.92,22.64409369,-124.048,-1.04,3.82170868,-0.1482695,16.84146559,机械行业
600970,中材国际,0.09,"""-""",3899199103,-8.52884393,149933913.1,15.94261799,438.3051,2.16,3.99300752,0.07599955,14.85222834,水泥建材
600507,方大特钢,0.215,"""-""",2756204477,62.42943868,284906250.3,360.8428034,40.4077,10.2,2.21327188,0.41278684,21.97230315,钢铁行业
600616,金枫酒业,0.1,"""-""",296982250.6,-11.42984252,53760297.75,-13.8772906,339.6361,2.65,3.98856278,0.04231408,49.75493207,酿酒行业
591,太阳能,0.0548,"""-""",568203865.3,-20.31695689,74875776.3,158.6866783,-69.4893,0.66,8.31904693,-0.00781111,49.36780773,电力行业
600439,瑞贝卡,0.046,"""-""",454975936.4,2.14013475,43278054.17,16.65787733,-18.8422,1.84,2.52342518,0.01145679,32.51243411,工艺商品
836,鑫茂科技,0.0038,"""-""",438760369.5,18.04191115,4610937.06,-73.06895297,-75.0378,0.27,1.39415194,0.01233827,10.86364367,安防设备
816,智慧农业,0.0038,"""-""",517693607.6,4.28367287,5339980.75,-47.08686775,103.6495,0.16,2.35231339,0.0009943,13.46417541,机械行业
813,德展健康,0.11,"""-""",349882314.4,13.79061305,162846842.3,24.52627314,14.918,4.25,2.62068971,0.02093683,84.63335289,医药制造
600499,科达洁能,0.125,"""-""",1469073011,28.63619742,176258100.5,30.07687892,414.87,4.36,2.98976162,-0.1003816,22.9513567,机械行业
600560,金自天正,0.03,"""-""",122321367.2,12.06214517,6374774.45,-20.1777861,23.3971,0.87,3.28644508,-0.14553027,20.7060412,机械行业
600559,老白干酒,0.09,"""-""",694976438.7,2.65215153,41314935.48,35.27514308,48.7658,2.54,3.76654936,-0.22154666,56.58018555,酿酒行业
948,南天信息,-0.1852,"""-""",274556804.8,-3.98569292,-45678472.65,8.14954773,-165.4801,-3.21,5.68037258,-1.72569734,27.36259019,软件服务
600395,盘江股份,0.159,"""-""",1452207300,95.00376859,263779300,347.8544065,121.1581,4.2,3.91888357,-0.05599661,36.628345,煤炭采选
600382,广东明珠,0.14,"""-""",128739958.8,82.1476702,64973749.49,249.467736,94.3641,1.35,10.34992169,-1.53013106,80.75071782,国际贸易
600371,万向德农,0.0497,"""-""",68028147.71,-20.1909545,11194922.7,7.65226634,-54.5417,2.58,1.95376026,0.14925697,33.48556494,农牧饲渔
1,平安银行,0.31,0.31,27712000000,0.65378469,6214000000,2.10318764,60.1546,2.89,10.9366046,-6.69803405,"""-""",银行
900951,*ST大化B,0.1,"""-""",204779849,2.90105128,28476329.31,168.9987132,154.1231,16.01,0.7006688,0.0536792,30.22883163,化工行业
802,北京文化,0.0069,"""-""",53725123.64,19.6216855,5009867.16,120.0201813,-99.0139,0.11,6.08398271,-0.5114215,90.90217448,文化传媒
600533,栖霞建设,-0.0163,"""-""",531120806.5,-11.08839855,-17075208.37,-276.9044543,-111.48,-0.43,3.80645852,-0.15439141,11.8880258,房地产
2053,云南能投,0.0762,"""-""",325436114.5,0.11692268,42517797.9,5.00133423,-53.7167,1.87,4.1141365,0.01139628,46.66763567,化工行业
783,长江证券,0.08,"""-""",1203743091,0.60712211,432248359.5,-13.95467879,-6.5379,1.68,4.71848402,-0.71532961,"""-""",券商信托
600812,华北制药,0.008,"""-""",2161125856,0.53455798,13489790.39,-2.80519132,230.4561,0.25,3.27219325,0.00550702,20.7634362,医药制造
2728,特一药业,0.09,"""-""",151686751.5,-3.45228607,18713758.91,-6.19945197,-33.8742,2.09,4.52701794,0.06123357,45.72565797,医药制造
300610,晨化股份,0.1985,"""-""",151417567.1,21.3801316,17485305.58,14.07094694,77.8744,3.21,6.27459241,-0.34812749,22.55768378,化工行业
300568,星源材质,0.29,"""-""",119867788,-13.25274227,34647902.63,-34.12128162,8.7263,2.77,10.56715951,0.00628123,52.8348141,材料行业
2861,瀛通通讯,0.17,"""-""",139447543.4,59.30113647,15349626.11,30.84992798,-59.9212,2.69,6.27493304,0.15315015,32.50371384,电子元件
603677,奇精机械,0.25,"""-""",282633071.1,9.72002191,18457454.36,8.16606838,-31.2547,2.55,10.75300535,-0.63227114,19.83566833,家电行业
600908,无锡银行,0.13,"""-""",673934000,13.52972193,238059000,10.4641127,22.3498,2.69,4.82985198,2.27739422,"""-""",银行
2836,新宏泽,0.14,"""-""",52303735.33,-16.873631,10940169.69,-8.19515364,-46.0086,2.73,4.88047091,-0.2435624,42.3841127,造纸印刷
603203,快克股份,0.29,"""-""",76017421.4,35.90587114,26568272.92,36.5680008,-22.5852,4.13,7.13129901,0.20186582,58.62219314,专用设备
2812,创新股份,0.1679,"""-""",241307127.6,10.69034482,22483520.28,-18.43337721,-59.0834,1.42,11.91382841,-0.27046107,23.44301648,包装材料
603066,音飞储存,0.116,"""-""",90468968.51,27.1806922,11568052.77,30.04600313,-50.5995,1.44,8.02394909,0.16839488,36.26711484,交运物流
300473,德尔股份,0.301,"""-""",179505780.1,18.52713226,30101537.73,15.41532576,50.5598,1.97,14.66772509,-0.06400615,39.12867152,汽车行业
603859,能科股份,-0.0802,"""-""",8738907.12,38.46689006,-9105075.01,32.14136642,-127.1732,-1.42,5.62192137,-0.43742409,27.91018186,输配电气
300500,启迪设计,0.16,"""-""",90037956.79,7.9996764,9649597.46,11.34936232,-60.6325,1.39,11.3337747,-0.84853023,36.05896236,工程建设
2787,华源控股,0.15,"""-""",256980106,28.59344576,22174152.27,-22.39789361,37.4735,2.31,6.76496003,-0.03229347,21.96641261,包装材料
2729,好利来,0.06,"""-""",35757369.26,14.04106931,3879402,180.7340588,-38.8895,0.96,6.11322783,0.13945225,41.11357246,电子元件
